Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,date,cluster
104.68,97.22,100.46,106.19,117.44,111.13,121.36,123.13,117.07,128.39,125.55,103.19,125.06,121.96,119.59,127.43,127.19,129.78,125.25,137.47,123.8,147.95,135.13,125.61,144.36,124.75,146.53,132.87,141.32,151.68,151.92,158.58,168.42,157.05,160.44,164.59,161.26,171.23,171.32,166.19,177.87,198.94,185.98,202.14,208.78,211.02,214.81,219.575,224.34,239.32,235.45,239.5,242.24,250.15,261.36,254.89,252.7,233.47,249.08,242.15,248.33,240.07,221.53,237.75,218.01,233.3,222.99,228.16,213.07,208.47,189.46,190.39,174.93,171.53,165.61,166.01,169.13,144.85,146.88,139.74,157.35,142.5,141.5,139.71,133.93,118.52,127.59,121.15,116.12,120.08,126.85,110.92,113.58,123.06,120.14,115.9,2025-01-11 00:00:00,1
109.8,105.59,110.21,122.97,124.39,125.99,127.59,115.87,130.8,113.27,113.35,115.18,111.81,105.06,122.64,113.97,115.11,129.23,124.26,119.27,126.66,124.46,131.01,127.78,127.55,140.27,136.73,141.3,142.13,147.92,152.65,155.38,136.42,158.2,153.85,173.05,171.57,169.37,190.57,173.93,182.35,192.46,192.14,199.09,195.07,213.24,216.62,223.67,232.2,238.53,233.59,233.98,241.96,251.75,250.14,245.68,257.62,256.19,256.6,251.97,234.42,247.47,236.32,231.37,212.59,228.43,219.91,214.11,204.12,204.37,198.34,181.71,179.2,176.62,185.28,153.35,153.69,138.54,166.25,145.56,118.67,133.64,132.07,130.28,126.58,131.45,130.58,125.2,122.91,129.85,117.64,115.31,127.2,111.28,136.19,104.28,2025-01-12 00:00:00,1
89.05,102.85,96.43,100.01,95.39,97.7,89.01,108.4,102.09,100,97.13,100.08,106.39,92.95,102.57,95.99,108.58,104.39,96.88,114.52,106.18,94.35,107.99,106.71,105.66,114.14,113.09,111.26,112.12,115.81,123.18,127.35,118.17,125.76,117.92,124.85,128.27,136,142.61,155.05,173.69,156.08,180.72,182.35,183.56,184.79,202.74,187.77,203.32,205.78,196.23,181.02,196.2,195.03,198.04,185.27,183.63,177.73,193.04,172.83,174.45,169.4,162.82,174.4,157.49,150.45,150.89,126.29,136.23,129.26,130.97,108.16,105.8,113.08,111.25,104.75,111.5,111.22,105.98,106.44,90.22,96.23,98.44,103.56,98.41,99.35,93.87,101.12,108.46,86.65,87.1,107.8,95.32,99.7,94.39,104.87,2025-01-13 00:00:00,1
99.74,90.56,87.67,103.35,92.56,88.9,89.68,74.93,89.81,100.07,89.62,81.24,84.28,95.5,95.75,95.62,95.26,107.78,90.9,98.47,88.47,107.17,109.47,104.72,110.49,109.64,105.85,106.61,109.51,122.23,106.19,114.7,119.91,118.85,132.39,136.54,124.26,142.51,140.66,155.7,165.36,168.11,168.59,170.78,175.48,177.22,181.75,192.27,184.36,192.17,184.4,192.37,181.5,194.87,182.9,176.54,194.96,190.8,180.55,177.97,164.14,169.33,159.6,161.73,146.94,143.06,152.16,147.91,122.04,121.57,111.53,118.98,119.51,111.74,105.54,95.88,114.88,98.07,99.96,104.05,107.98,102.67,103.45,106.88,95.92,88.32,96.46,106.32,108.07,87.36,92.88,99.5,93.97,81.12,103.9,99,2025-01-14 00:00:00,1
92.42,82.12,95.16,92.36,79.42,98.79,86.04,83.68,90.3,105.04,80.49,91.32,83.35,94.99,92.17,84.59,87.42,102.97,100.875,98.78,95.61,102.16,101.11,99.38,105.96,92.94,95.32,97.68,111.27,110.81,91.44,121.64,111.29,99.46,126.65,124.28,127.56,145.74,144.36,148.93,154.28,166.25,166.95,166.05,175.29,182.97,175.55,183.45,178.06,185.38,186.17,187.36,184.05,188.74,182.39,187.59,174.09,181.47,167.88,163.51,157.25,156.1,157.27,147.96,137.24,145.71,130.4,131.13,122.48,119.35,124.72,127.21,111.53,111.83,105.32,107.36,89.21,97.55,96.86,101.35,97.97,97.45,91.03,94.73,102.1,110,105.84,93.09,94.61,95.57,97.01,96.85,87.99,94.31,82.34,87.81,2025-01-15 00:00:00,1
138.81,135.9,138.45,138.3,144.97,151.95,132.03,131.14,138.35,136.48,137.59,144.87,128.7,135.63,147.75,147.69,136.68,146.81,159.38,148.67,146.15,153.37,151.51,163.48,166.87,172.5,172.76,194.5,199.42,247.57,254.56,276.72,285.98,294.65,301.87,264.69,250.66,247.83,225.04,224.54,199.63,212.85,190.46,193.7,191.89,198.44,206.25,212.69,199.58,210.9,208.47,211.05,201.76,220.82,197.32,204.39,192.23,191.89,205.26,193.31,197.4,187.32,187.35,192.16,192.55,193.73,197.04,203.73,223,239.62,265.03,262.36,267.08,279.25,261.09,257.2,232.27,210.08,193.02,174.97,153.66,159.87,147.2,154.37,131.56,146.42,143.5,153.02,153.23,146.91,142.43,134.26,152.96,138.23,141.54,137.05,2025-01-16 00:00:00,2
81.7,89.45,77.27,95.1,87.41,92.67,86.06,96.06,95.84,95.62,94.83,91.51,93.23,89.23,87.09,97.14,92.22,93.61,90.89,109.02,99.99,90.54,87.06,96.58,108.34,110.12,109.11,105.43,101.28,104.04,101.1,107.85,111.95,117.69,119.41,126.75,131.07,136.02,134.2,154.5,150.56,146.8,167.65,173.81,176.41,176.56,193.38,181.02,177.14,185.72,177.69,169.07,182.58,179.63,179.84,168.63,185.64,184.57,172.535,160.5,152.07,154.92,156.22,156.81,142.63,142.58,129.05,132.13,127.27,120.18,131.55,112.55,116.34,103.83,104.72,91.75,106.28,110.62,110.82,99.69,95.15,86.3,93.57,97.66,86.6,94.93,87.78,90.08,78.62,88.54,83.24,90.86,92.62,96.94,97.905,98.87,2025-01-17 00:00:00,1
97.18,96.86,93.42,119.53,113.57,97.54,106.94,100.94,103.43,107.66,113.7,118.65,111.77,115.69,108.09,111.37,114.63,99.6,110.53,113.97,116.37,109.52,121.35,118.31,116.43,111.6,139.43,130.62,132.09,121.88,129.2,153.48,136.48,145,158.04,157.9,143.25,166.9,166.7,162.81,167.13,170.56,179.08,170.41,196.75,189.87,207.05,208.97,198.61,223.53,216.49,223.33,222.74,219.77,232.52,228.37,244.77,228.41,234.48,251.09,234.41,226.7,222.52,218.34,209.24,204.49,202.73,198.32,184.77,170.71,175.43,168.53,155.31,159.97,157.16,146.18,144.67,137.97,134.03,129.51,133.09,123.43,127.41,122.9,121.68,126.57,111.62,112.69,123.11,96.12,100.75,110.05,104.92,111.36,109.2,107.48,2025-01-18 00:00:00,1
102.59,107.3,109.78,109.42,97.42,118.43,102.81,108.82,114.81,111.35,119.3,100,108.05,110.18,110.48,111.37,120.15,119.57,121.86,129.53,122.52,114.54,113.76,132,128.47,120.52,130.49,135.05,141.53,133.01,138.09,134.69,136.4,148.03,140.43,157.12,154.74,172.57,152.27,166.1,172.67,179.1,185.34,188.74,176.74,190.97,197.44,206.6,224.09,220.21,228.25,236.27,239.27,237.46,234.71,236.68,228.93,237.21,236.16,229.46,214.48,221.44,227.4,212.97,201.08,226.04,196.41,191.68,200.73,187.4,166.48,175.88,182.33,161.49,148.11,163.78,157.72,148.19,156.28,126.8,139.68,126.73,123.68,125.71,115.61,114.6,128.79,112.05,123.12,122.3,115.94,132.53,108.71,103.43,98.79,107.23,2025-01-19 00:00:00,1
54.77,53.36,54.34,68.08,45.9,54.18,50.23,60.27,45.72,46.9,60.67,65.25,64.33,47.21,54.15,67.9,51.03,70.23,64.5,57.16,59.6,72.32,67.15,66.38,66.95,67.34,69.07,54.53,60.93,72.17,78.94,76.35,67.33,74.86,69.57,75.84,71.97,86.47,73.05,89.93,79.09,84.57,82.31,82.49,78.36,89.74,79.87,83.48,79.95,87.04,83.18,80.66,79.47,87.15,84.75,75.32,95.66,72.51,73.97,87.21,87.23,96.53,84.35,79.47,75.43,72.13,84.87,71.91,70.39,59.23,69.72,74.82,68.45,68.52,74.05,61.28,63.29,60.13,63.1,64.69,60.19,67.63,62.47,64.28,56.11,64.42,50.98,66.7,66.26,55.55,59.83,58.81,46.98,59.16,57.25,63.08,2025-01-20 00:00:00,4
102.96,95.95,97.79,101.68,95.89,99.49,88.12,101.01,90.6,92.83,102.56,92.18,94.74,100.69,104.56,108.09,99.7,84.7,99.19,112.56,109.46,105.94,106.64,125.08,110.19,108.31,109.02,109.88,120.18,116.84,127.24,120.9,119.79,130.61,116.62,138.12,135.91,136.7,149.09,177.24,172.43,166.5,186.76,186.18,188.31,196.83,177.67,187.05,204.21,214.04,202.59,197.26,188.73,196.34,188.58,196.45,194.24,184.76,167.22,180.11,185.59,189.25,171.79,169.26,156.87,161.2,150.86,141.6,124.85,133.22,139.63,124.2,115.9,114.03,118.34,110.12,101.85,97,111.23,112.91,111.85,90.3,91.93,114.23,108.42,93.98,105.33,93.89,101.15,102.77,91.71,103.93,107.14,103.05,108.2,92.4,2025-01-21 00:00:00,1
151.79,166.94,156.56,144.56,146.26,146.55,160.72,154.61,159.3,165.08,155.19,156.44,149.35,174.16,168.27,174.71,167.55,158.66,182.01,167.7,160.82,172.7,181.09,172.65,192.7,192.42,200.82,212.88,238.3,253.59,274.89,294.27,320.31,311.59,325.17,309.07,268.78,266.23,238.94,230.13,225.17,226.04,220.47,213.3,228.88,233.56,218.95,227.92,222.02,227.28,222.48,224.54,228.03,224.32,225.91,217.12,212.46,228.57,208.14,213.46,194.35,202.77,208.78,207.59,212.32,213.14,219.78,235.67,256.2,273.06,289.18,309.33,310.52,311.5,290.19,276.84,264.56,225.02,211.96,201.18,190.36,181.05,166.33,167.67,162.41,167.97,170.22,152.87,159.42,157.24,166.04,163.725,161.41,165.14,157.04,167.93,2025-01-22 00:00:00,2
104.69,91.18,102.14,99.73,76.28,94.72,101.59,95.77,108.07,114.37,98.6,101.61,116.33,95.23,84.69,113.84,100.25,105.23,102.34,113.47,113.99,107.18,116.38,102.79,119.27,118.93,113.11,111.345,109.58,115.19,120.66,129.15,116.03,114.62,136.98,131,132.33,128.16,154.98,160.14,160.45,177.63,182.83,192.22,188.37,179.35,203.16,210,203.35,208.48,198.79,192.16,197.63,212.52,199.4,204.32,187.6,183.09,182.77,180.5,171.42,155.7,160.36,164.95,158.32,154.44,155.98,144.01,140.36,139.57,120.83,132.15,118.9,112.63,109.96,126.78,114.07,102.21,107.32,102.17,92.38,101.81,104.81,109.01,100.97,105.19,97.07,112.47,101.32,98.09,101.13,104.7,96.77,100.25,111.1,103.49,2025-01-23 00:00:00,1
96.9,78.02,75.66,100.1,90.08,104.01,85.37,92.95,92.11,90.785,89.46,105.14,97.9,95.64,109.41,101.8,107.55,93.71,104.19,105.84,110.4,117.21,94.27,95.41,101.91,108.81,116.11,100.73,101.56,125.73,117.1,102.55,131.49,141.31,116.78,130.89,120.39,141.45,153.58,159.74,160.89,164.02,182.74,182.46,182.18,193.06,197.41,200.215,203.02,199.55,196.08,193.6,200.87,194.57,194.78,193.27,195.67,190.91,174.71,186.29,176.17,181.86,174.34,156.47,164.83,157.98,151.47,145.26,137.56,141.69,119.84,113.74,115.94,101.53,106.95,112.61,108.69,109.52,117.62,93.05,102.99,109.88,111,105.08,97.35,96.22,91.67,90.42,99.91,96.98,94.78,98.82,90.7,96.5,112.1,86.91,2025-01-24 00:00:00,1
105.25,103.65,110.2,107.27,107.64,104.91,109.09,118.97,110,100.98,102.86,113.69,122.33,106.62,106.71,113.53,109.6,113.11,125.22,113.86,116.16,122.31,112.89,126.5,108,134.36,132.5,133.57,135.51,138.62,147.52,146.28,140.29,159.63,153.28,153.51,155.39,153.51,172.13,160.66,175.82,176.27,183.29,190.98,189.97,201.76,215.72,201.63,210.78,230.94,229.46,237.58,231.99,250.32,251.19,241.7,235.54,235.23,231.5,239.92,236.49,234.92,232.58,211.82,206.3,209.13,196.31,212.83,195.9,185.68,171.21,180.26,174.55,169.77,170.3,163.12,140.91,134.05,139.96,145,123.39,136.77,135.69,133.43,117.28,124.85,119.21,112.64,121.65,104.18,119.73,105.97,111.83,103.77,114.56,100.88,2025-01-25 00:00:00,1
102.195,103.51,111.47,99.61,97.77,109.53,103.24,89.29,124.51,97.84,108.29,107.06,115.93,98.63,107.39,108.21,110.23,118.64,125.17,111.16,109.27,119.29,117.04,114.76,119.31,113.9,128.19,121.7,127.8,138.07,136.33,125.5,134.76,142.29,155.85,153.83,154.59,158.45,165.89,172.76,171.89,175,177.94,191.77,186.45,183.18,192.42,202.59,217.62,219.46,227.32,230.72,229.74,223.52,237.79,229.98,231.3,219.81,225.69,231.59,223.45,221.59,229.89,201.47,215.3,189.79,198.26,200.18,185.29,178.75,178.64,168.01,166.47,162.28,151.05,141.77,139.5,134.56,141.62,139.54,125.18,124.54,113.07,119.69,122.46,105.29,109.69,108.1,118.04,103.6,102.4,112.68,94.5,109.58,104.3,92.14,2025-01-26 00:00:00,1
93.13,97.76,98.49,84.58,84.28,82.9,82.51,97.14,94.72,86.73,101.05,102.56,108.19,90.5,96.15,81.77,95.15,101.8,103.34,106.12,97.14,106.96,88.6,95.99,100.08,103.28,93.37,97.83,113.97,108.71,117.1,95.53,115.01,115.76,115.02,118.41,128.91,138.16,141.17,143.75,148.83,150.02,155.43,170.04,160.36,169.37,184.5,186.9,171.66,191.52,206.13,185.71,183.87,181.37,180.98,175.03,162.59,171.93,168.84,156.08,166.04,148.96,155.78,148.74,142.87,132.87,132.68,135.35,122.35,128.73,115.46,115.82,105.83,110.25,92.66,93.11,109.94,106.67,89.8,95.66,109.36,106.64,77.89,99.6,83.66,88.01,90.06,98.92,86,91.39,88.78,88.3,89.08,87.27,91.01,97.24,2025-01-27 00:00:00,1
94.13,88.6,91.09,94.94,93.51,82.68,92.46,93.49,80.73,93.85,86.08,96.35,83,95.65,84.22,99.92,90.15,98.7,86.4,98.25,104.09,98.55,101,93.05,105.15,95.2,106.55,102.32,114.9,97.75,112.44,117.92,113.43,115.68,122.6,110.78,143.04,115.37,148.41,136.17,157.94,159.31,160.38,160.01,179.49,163.24,168.06,175.85,174.6,174.62,181.49,184.14,181.07,165.08,180.29,186.3,172.12,163.13,181.31,164.4,157.28,160.49,165.46,146.98,143.23,154.19,139.47,132.21,143.46,125.24,104.73,104.18,111.79,100.2,97.61,104.22,90.89,91.94,95.64,97.69,105.58,85.54,83.83,83.24,107.45,93.02,105.65,94.13,81.34,89.5,96.95,100.37,97.01,87.73,82.94,79.48,2025-01-28 00:00:00,1
54.19,46.32,43.12,46.12,65.71,47.4,49.27,55.89,54.83,62.03,44.14,60.52,68.13,54.34,53.8,49.01,46.24,52.33,54.76,56.74,61.9,46.96,68.23,68,71.06,61.79,63.23,60.73,71.18,70.96,81.79,66.35,72.2,68.39,72.39,71.51,87.96,77.03,70.46,75.92,73.06,82.04,70.33,84.49,77.41,68.3,72.97,77.95,77.25,73.46,69.1,83.38,88.77,72.78,66.65,83.11,77.33,75.47,59.3,83.43,83.62,76.17,64.08,62.02,67.39,63.94,68.2,62.07,84.37,61.12,61.01,60.64,64.52,63.96,61.2,58.65,58.28,57.26,59.44,52.93,82.8,51.5,66.31,59.74,57.08,62.17,59.93,47.5,60.42,54.26,59.12,48.92,49.59,66.5,48.64,47.92,2025-01-29 00:00:00,4
58.84,60.79,48.19,56.06,57.31,56.64,64.24,59.6,55.51,53.77,51,47.09,62.23,47.42,47.47,58.38,71.85,69.22,53,45.82,53.79,56.58,48.5,61.61,64.07,66.91,69.99,65.92,63.02,77.44,68.72,75.61,84.59,68.76,65.08,85.79,71.13,84.6,72.36,61.96,76.81,73.25,77.44,80.16,86.58,79.04,87.72,77.76,73.37,87.9,84.22,87.71,77.86,79.25,76.57,76.07,80.48,78.13,84.14,69.09,74.85,74.44,85.61,59.7,78.38,66.29,76.48,68.29,73.85,71.39,66.8,67.67,69.84,60.16,57.11,62.48,54.72,63.64,69.08,62.49,54.33,58.18,62.35,60.16,52.1,60.22,40.94,68.63,67.97,56.33,46.15,54.78,59.57,56.55,60.16,52.7,2025-01-30 00:00:00,4
86.58,87.51,88.91,93.04,88.04,103.77,96.15,83.4,106.7,102.99,98.96,101.93,101.2,95.82,94.37,101.32,98.14,97.63,103.08,102.86,95.19,103.63,101.7,101.29,117.22,100.99,107.82,101.7,118.11,114.56,115.29,125.58,112.14,116.04,131.99,140.12,131.3,135.55,141.86,168.53,146.65,165.85,172,187.38,181.17,190.92,188.84,199.49,192.56,198.18,199.27,196.87,205.95,197.67,196.61,193.36,189.93,189,179.28,197,180.5,176.49,154.34,155.45,163.85,147.15,147.83,144.82,120.96,134.52,123.79,129.18,109.7,121.52,122.93,95.75,103.28,106.04,101.78,111.13,119.12,99.94,97.05,101.81,93.76,108.76,109.65,101.34,93.36,90.95,99.1,90.5,111.88,94.55,99.07,82.23,2025-01-31 00:00:00,1
122.68,120.24,117.37,105.58,112.56,109.1,116.55,107.5,120.12,118.1,109.6,130.19,114.23,120.21,119.31,113.12,122.31,114.94,116.27,131.84,125.67,114.61,131.88,133.43,127.5,129.39,123.98,144.94,132.94,145.37,150.84,163.28,160.27,167,147.94,163.71,170.84,175.42,178.21,198.22,182.18,195.65,187.22,202.52,217.92,218.22,211.4,232.88,224.87,238.48,243.93,246.06,249.14,255.44,254.88,264.36,260.52,243.75,248.41,263.18,239.68,244.1,237.7,221.45,231.49,220.92,224.06,215.14,207.18,187.57,211.55,198.93,185.06,174.43,170.26,152.9,162.93,153.62,141.63,146.6,135.28,141.68,143.28,134.6,132.22,119.77,122.3,133.35,134.06,122.29,121.19,125.88,115.82,123.37,113.87,114.5,2025-02-01 00:00:00,1
106.06,112.46,106.2,103.13,91.57,113.13,113.14,108.11,120.64,110.94,99.08,115.09,117.8,111.41,109.59,112.74,114.26,103.51,114.4,128.87,108.74,127.93,131.98,131.2,127.7,118.36,152.38,123.37,131.74,146.07,150.25,151.38,143.02,155.46,171.6,155.18,166.59,172.17,179.04,175.46,182.95,181.31,180.44,188.55,204.22,195.2,222.68,217.42,205.05,228.87,236.01,241.06,244.44,234.97,253.73,243.8,242.61,258.31,239.41,244.6,235.42,217.45,239.07,215.93,217.43,215.71,207.95,211.99,210.73,196.93,185.38,167.9,187.76,167.69,170.56,159.96,151.43,145.38,146.13,156.46,132.35,147.31,130.98,118.41,130.92,124.46,134.47,121.85,120.55,119.76,122.76,104.6,113.22,111.3,122,117.11,2025-02-02 00:00:00,1
